"version", "jit", "type", "avg", "median", "min", "max"
8.3.2,0,'call user closure',  134.76,  130.88,  111.91,  170.90
8.3.2,0,'call user new class',  173.83,  178.22,  145.40,  224.31
8.3.2,0,'call user new class with use',  126.16,  123.20,  115.75,  150.17
8.3.2,0,'call user static method',  101.00,  100.60,   92.41,  115.08
8.3.2,0,'call user static method string',  137.81,  137.29,  129.93,  156.41
8.3.3,0,'function',   37.60,   37.73,   31.11,   46.50
8.3.3,0,'closure',   43.03,   42.59,   31.59,   82.57
8.3.3,0,'new class',   77.02,   76.40,   69.67,   89.79
8.3.3,0,'new class with use',   45.93,   44.78,   39.98,   62.81
8.3.3,0,'static method',   39.41,   39.06,   34.88,   49.06
8.3.3,0,'call user func string',   60.61,   58.17,   48.83,   88.57
8.3.3,0,'call user closure',  138.63,  137.09,  118.32,  169.84
8.3.3,0,'call user new class',  172.34,  178.71,  148.35,  211.81
8.3.3,0,'call user new class with use',  119.20,  117.81,  111.67,  160.57
8.3.3,0,'call user static method',  117.09,  116.88,   92.77,  174.65
8.3.3,0,'call user static method string',  151.00,  149.46,  130.37,  188.98
8.4.6,0,'function',   39.99,   39.46,   32.41,   65.96
8.4.6,0,'closure',   37.76,   36.79,   29.91,   51.81
8.4.6,0,'new class',   97.80,   94.83,   76.18,  156.03
8.4.6,0,'new class with use',   59.94,   58.20,   45.11,  150.99
8.4.6,0,'static method',   51.60,   49.87,   42.52,   80.21
8.4.6,0,'call user func string',   79.45,   79.03,   54.31,  113.84
8.4.6,0,'call user closure',  150.33,  143.87,  119.07,  236.29
8.4.6,0,'call user new class',  190.73,  192.42,  163.69,  233.50
8.4.6,0,'call user new class with use',  152.62,  150.68,  126.04,  207.64
8.4.6,0,'call user static method',  115.21,  111.19,   98.02,  177.91
8.4.6,0,'call user static method string',  153.18,  147.18,  137.25,  199.29
7.4.33,0,'function',   41.41,   40.66,   33.07,   54.52
7.4.33,0,'closure',   39.52,   39.01,   34.18,   51.08
7.4.33,0,'new class',   88.65,   88.04,   74.79,  116.70
7.4.33,0,'new class with use',   56.07,   55.96,   43.77,   86.67
7.4.33,0,'static method',   44.78,   45.30,   35.34,   53.76
7.4.33,0,'call user func string',   59.56,   58.13,   46.87,   88.38
7.4.33,0,'call user closure',  141.58,  142.11,  115.22,  169.98
7.4.33,0,'call user new class',  159.45,  155.41,  139.47,  221.35
7.4.33,0,'call user new class with use',  128.98,  128.21,  109.86,  159.60
7.4.33,0,'call user static method',  142.08,  135.24,  121.36,  194.83
7.4.33,0,'call user static method string',  212.99,  202.97,  186.89,  276.83
8.0.10,1,'function',   15.74,   15.55,   12.49,   20.02
8.0.10,1,'closure',   17.12,   16.98,   14.56,   20.64
8.0.10,1,'new class',   57.77,   57.22,   55.89,   65.95
8.0.10,1,'new class with use',   29.73,   28.88,   23.74,   50.29
8.0.10,1,'static method',   27.96,   27.09,   20.69,   49.14
8.0.10,1,'call user func string',   46.22,   46.40,   34.05,   59.64
8.0.10,1,'call user closure',  111.07,  107.72,   96.62,  170.66
8.0.10,1,'call user new class',  129.17,  125.60,  114.46,  166.89
8.0.10,1,'call user new class with use',  102.68,  100.11,   91.00,  127.28
8.0.10,1,'call user static method',  140.62,  140.60,  113.54,  201.87
8.0.10,1,'call user static method string',  186.06,  179.10,  160.44,  237.14
8.1.8,1,'function',   15.34,   15.18,   11.56,   19.85
8.1.8,1,'closure',   18.92,   18.16,   13.62,   32.85
8.1.8,1,'new class',   55.81,   55.44,   52.77,   64.45
8.1.8,1,'new class with use',   27.16,   26.88,   23.82,   33.49
8.1.8,1,'static method',   22.16,   21.95,   20.10,   29.17
8.1.8,1,'call user func string',   41.26,   40.23,   34.94,   53.18
8.1.8,1,'call user closure',  118.52,  118.03,   97.91,  171.88
8.1.8,1,'call user new class',  141.32,  142.24,  121.53,  171.79
8.1.8,1,'call user new class with use',  110.34,  106.31,   97.94,  160.02
8.1.8,1,'call user static method',   96.68,   96.69,   77.10,  123.78
8.1.8,1,'call user static method string',  147.40,  140.96,  116.93,  248.71
8.2.3,1,'function',   15.95,   15.62,   13.56,   25.51
8.2.3,1,'closure',   16.81,   16.48,   14.27,   21.58
8.2.3,1,'new class',   58.33,   57.85,   49.23,   74.51
8.2.3,1,'new class with use',   29.86,   28.50,   26.10,   41.16
8.2.3,1,'static method',   24.90,   24.74,   22.93,   31.41
8.2.3,1,'call user func string',   44.76,   44.02,   39.46,   57.55
8.2.3,1,'call user closure',  115.06,  111.33,  100.17,  168.34
8.2.3,1,'call user new class',  156.13,  157.29,  126.14,  226.91
8.2.3,1,'call user new class with use',  131.21,  132.24,  108.94,  156.20
8.2.3,1,'call user static method',   92.58,   92.21,   79.02,  131.45
8.2.3,1,'call user static method string',  143.65,  139.72,  121.79,  216.67
8.3.11,1,'function',   17.37,   17.78,   12.70,   21.34
8.3.11,1,'closure',   15.28,   15.35,   12.26,   20.35
8.3.11,1,'new class',   57.96,   58.14,   52.69,   63.66
8.3.11,1,'new class with use',   27.95,   27.78,   24.20,   33.54
8.3.11,1,'static method',   26.97,   26.41,   21.17,   48.37
8.3.11,1,'call user func string',   45.30,   44.35,   38.84,   62.03
8.3.11,1,'call user closure',  109.62,  106.10,   96.60,  132.40
8.3.11,1,'call user new class',  137.76,  133.40,  118.43,  188.34
8.3.11,1,'call user new class with use',  116.69,  119.87,   98.92,  137.86
8.3.11,1,'call user static method',   93.63,   90.75,   80.30,  114.71
8.3.11,1,'call user static method string',  138.56,  133.51,  118.27,  209.70
8.3.12,1,'function',   16.50,   16.24,   11.83,   25.66
8.3.12,1,'closure',   17.18,   16.82,   12.73,   25.15
8.3.12,1,'new class',   57.43,   56.79,   45.27,   84.92
8.3.12,1,'new class with use',   28.43,   27.48,   23.91,   38.28
8.3.12,1,'static method',   24.75,   23.74,   20.09,   43.92
8.3.12,1,'call user func string',   40.64,   39.58,   35.20,   65.55
8.3.12,1,'call user closure',  107.71,  105.82,   97.19,  144.17
8.3.12,1,'call user new class',  134.34,  129.35,  118.15,  168.36
8.3.12,1,'call user new class with use',  106.76,  102.46,   90.26,  181.65
8.3.12,1,'call user static method',   98.98,   95.08,   86.37,  118.56
8.3.12,1,'call user static method string',  132.20,  125.92,  119.27,  163.49
8.3.13,1,'function',   15.63,   15.56,   11.39,   20.68
8.3.13,1,'closure',   16.04,   16.23,   12.02,   20.87
8.3.13,1,'new class',   57.22,   56.74,   52.95,   69.00
8.3.13,1,'new class with use',   31.91,   32.00,   25.06,   40.66
8.3.13,1,'static method',   28.23,   27.67,   22.79,   39.97
8.3.13,1,'call user func string',   43.93,   43.12,   35.59,   59.38
8.3.13,1,'call user closure',  117.06,  111.57,  100.56,  194.37
8.3.13,1,'call user new class',  146.07,  138.44,  124.90,  224.06
8.3.13,1,'call user new class with use',  126.41,  126.01,  102.55,  190.92
8.3.13,1,'call user static method',   93.53,   91.82,   78.52,  148.92
8.3.13,1,'call user static method string',  127.13,  125.68,  119.24,  172.29
8.3.2,1,'function',   15.78,   15.73,   11.75,   20.12
8.3.2,1,'closure',   15.27,   15.18,   12.27,   20.28
8.3.2,1,'new class',   49.43,   48.86,   44.09,   61.59
8.3.2,1,'new class with use',   31.60,   31.44,   26.10,   39.01
8.3.2,1,'static method',   25.56,   25.34,   20.60,   34.02
8.3.2,1,'call user func string',   44.30,   43.47,   36.08,   57.05
8.3.2,1,'call user closure',  126.41,  124.62,  103.03,  197.56
8.3.2,1,'call user new class',  146.46,  150.90,  124.48,  179.82
8.3.2,1,'call user new class with use',  106.66,  102.78,   95.18,  139.79
8.3.2,1,'call user static method',   99.65,  102.35,   84.85,  111.92
8.3.2,1,'call user static method string',  136.92,  131.37,  120.96,  183.67
8.3.3,1,'function',   17.65,   17.05,   12.72,   38.44
8.3.3,1,'closure',   16.58,   16.16,   12.46,   27.35
8.3.3,1,'new class',   51.83,   50.09,   43.95,   69.48
8.3.3,1,'new class with use',   31.65,   32.17,   24.50,   41.24
8.3.3,1,'static method',   27.52,   27.04,   21.45,   37.58
8.3.3,1,'call user func string',   46.76,   46.78,   35.79,   56.20
8.3.3,1,'call user closure',  121.32,  123.94,  101.89,  169.98
8.3.3,1,'call user new class',  140.68,  135.34,  124.74,  174.20
8.3.3,1,'call user new class with use',  115.20,  116.97,   95.48,  159.31
8.3.3,1,'call user static method',   92.30,   89.38,   82.77,  121.41
8.3.3,1,'call user static method string',  145.53,  143.19,  125.34,  230.26
8.4.6,1,'function',   18.32,   18.22,   14.92,   22.41
8.4.6,1,'closure',   19.90,   20.01,   16.68,   24.28
8.4.6,1,'new class',   67.09,   66.55,   57.99,   82.73
8.4.6,1,'new class with use',   35.41,   35.15,   27.58,   48.27
8.4.6,1,'static method',   29.89,   29.64,   24.35,   38.07
8.4.6,1,'call user func string',   50.72,   50.37,   40.93,   80.24
8.4.6,1,'call user closure',  125.19,  127.41,  100.29,  151.39
8.4.6,1,'call user new class',  160.90,  160.35,  131.29,  210.59
8.4.6,1,'call user new class with use',  121.70,  117.39,   99.03,  190.27
8.4.6,1,'call user static method',   98.90,   96.18,   88.70,  136.18
8.4.6,1,'call user static method string',  145.85,  143.16,  124.71,  176.98
